Make,Model,Mileage,Engine_Size,Fuel_Type,Transmission,Age,Price
Honda,Fit,132873,1300,Petrol,Automatic,13,530000
Honda,Freed,84000,1300,Petrol,Automatic,14,750000
Honda,Freed,197144,1500,Petrol,Automatic,13,650000
Honda,Freed,131254,1500,Petrol,Automatic,14,570000
Honda,Grace,115000,1500,Petrol,Automatic,8,1765000
Honda,Grace,177000,1490,Petrol,Automatic,9,1450000
Honda,Insight,5555555,1300,Petrol,Automatic,15,450000
Honda,N-wagon,65000,1000,Petrol,Automatic,8,915000
Honda,N-wagon,137000,700,Petrol,Automatic,8,865000
Honda,Odyssey,125000,1500,Petrol,Automatic,8,2250000
Honda,Odyssey,108000,2400,Petrol,Automatic,10,1650000
Honda,Odyssey,131536,2400,Petrol,Automatic,16,550000
Honda,Stepwagon,14000,2000,Petrol,Automatic,3,3544800
Honda,Stepwagon,99000,1800,Petrol,Automatic,8,2215000
Honda,Stepwagon,175659,1997,Petrol,Automatic,9,1900000
Honda,Stepwagon,89860,2000,Petrol,Automatic,10,1670000
Honda,Stream,98292,1800,Petrol,Automatic,10,1500000
Honda,Stream,127232,1800,Petrol,Automatic,14,1050000
Honda,Vezel,115000,1500,Petrol,Automatic,8,3915000
Honda,Vezel,58019,1500,Petrol,Automatic,9,3010000
Honda,Vezel,94000,1500,Petrol,Automatic,8,2915000
Honda,Vezel,68148,1500,Petrol,Automatic,9,2900000
Honda,Vezel,77000,1500,Petrol,Automatic,8,2765000
Honda,Vezel,63000,2000,Petrol,Automatic,8,2750000
Honda,Vezel,146000,1800,Petrol,Automatic,8,2715000
Honda,Vezel,104000,1800,Petrol,Automatic,8,2715000
Honda,Vezel,109000,1500,Petrol,Automatic,8,2715000
Honda,Vezel,32000,1500,Petrol,Automatic,9,2715000
Honda,Vezel,90000,1500,Petrol,Automatic,8,2715000
Honda,Vezel,82000,1500,Petrol,Automatic,8,2715000
Honda,Vezel,68000,1500,Petrol,Automatic,8,2715000
Honda,Vezel,112000,1500,Petrol,Automatic,9,2665000
Honda,Vezel,95000,1500,Petrol,Automatic,8,2665000
Honda,Vezel,119000,1500,Petrol,Automatic,8,2650000
Honda,Vezel,67000,1496,Petrol,Automatic,8,2650000
Honda,Vezel,122000,1400,Petrol,Automatic,8,2650000
Honda,Vezel,103000,1500,Petrol,Automatic,8,2615000
Honda,Vezel,75000,1500,Petrol,Automatic,8,2565000
Honda,Vezel,85000,1500,Petrol,Automatic,8,2500000
